Campaign_ID,Platform,Campaign_Name,Start_Date,End_Date,Budget_Spent,Impressions,Clicks,Engagement_Rate,Notes,Target_Audience
5000,Instagram,Brand Awareness,2023-01-01,2023-01-01,25503.15,174999,49091,5.13,,Adults
5001,Instagram,Festival Discount,2023-01-08,2023-01-08,36759.16,272530,21214,4.82,,Adults
5002,YouTube,Product Spotlight,"Jan 15, 2023","Jan 15, 2023",41937.81,495369,41131,2.78,,Adults
5003,LinkedIn,Product Spotlight,"Jan 22, 2023","Jan 22, 2023",15635.42,475944,36377,0.39,,Tech Enthusiasts
5004,Twitter,Sale Promo,2023-01-29,2023-01-29,34760.76,302164,19070,6.09,Tree off under box arrive boy people campaign.,General Public
5005,Instagram,New Launch,05/02/2023,05/02/2023,22639.91,576966,12982,4.02,Often clear though bill must choice option public.,General Public
5006,LinkedIn,Festival Discount,12/02/2023,12/02/2023,21591.63,227767,34818,3.06,,Adults
5007,Facebook,Product Spotlight,2023-02-19,2023-02-19,36051.16,71394,33914,8.68,Stay individual assume summer safe with test.,Adults
5008,YouTube,Sale Promo,26/02/2023,26/02/2023,22423.25,734305,21540,7.49,,Adults
5009,Facebook,New Launch,05/03/2023,05/03/2023,20574.88,649665,13907,8.59,Paper yard become enter wear.,General Public
5010,Instagram,Festival Discount,12/03/2023,12/03/2023,42614.98,656004,45968,5.0,,General Public
5011,Instagram,Festival Discount,19/03/2023,19/03/2023,9557.43,197486,33805,1.4,Tree soon area of.,Adults
5012,Facebook,Product Spotlight,2023-03-26,2023-03-26,35415.17,982320,14666,6.99,Establish particularly learn building.,Tech Enthusiasts
5013,Instagram,Festival Discount,2023-04-02,2023-04-02,16192.64,590206,7072,2.14,,Youth
5014,LinkedIn,Sale Promo,2023-04-09,2023-04-09,5697.42,494497,33502,4.47,Claim quite affect car.,Youth
5015,Instagram,Festival Discount,"Apr 16, 2023","Apr 16, 2023",12504.39,252556,27472,0.74,Month artist kind interesting money young reality.,Youth
5016,YouTube,Brand Awareness,2023-04-23,2023-04-23,32299.77,387784,47335,8.27,,General Public
5017,LinkedIn,Sale Promo,30/04/2023,30/04/2023,36910.72,990198,42964,1.35,Serve pull strategy what it poor.,General Public
5018,Twitter,New Launch,07/05/2023,07/05/2023,5947.6,694815,47418,9.04,,Youth
5019,Instagram,New Launch,"May 14, 2023","May 14, 2023",6639.14,376590,23423,8.66,Mission industry term natural order citizen leg coach.,Youth
5019,Instagram,New Launch,"May 14, 2023","May 14, 2023",6639.14,376590,23423,8.66,Mission industry term natural order citizen leg coach.,Youth
5021,YouTube,Product Spotlight,"May 28, 2023","May 28, 2023",8298.76,104702,45418,7.47,,General Public
5022,YouTube,Brand Awareness,2023-06-04,2023-06-04,45238.2,115509,33348,6.23,,General Public
5023,Facebook,New Launch,"Jun 11, 2023","Jun 11, 2023",15267.47,365752,2583,8.05,,Youth
5024,Facebook,New Launch,2023-06-18,2023-06-18,38300.8,124310,46646,4.37,,Tech Enthusiasts
5025,Facebook,New Launch,"Jun 25, 2023","Jun 25, 2023",18938.0,939613,48485,7.88,State focus ahead evening.,Tech Enthusiasts
5026,YouTube,New Launch,"Jul 02, 2023","Jul 02, 2023",43643.84,842234,17640,4.68,,Youth
5027,Facebook,Festival Discount,2023-07-09,2023-07-09,36520.47,733380,3170,9.42,,Youth
5028,Facebook,Sale Promo,"Jul 16, 2023","Jul 16, 2023",23081.61,568910,37019,4.92,,General Public
5029,Twitter,Sale Promo,"Jul 23, 2023","Jul 23, 2023",8433.61,119935,45012,4.68,,Youth
5030,Facebook,Brand Awareness,2023-07-30,2023-07-30,37971.51,270440,38529,7.87,Throughout election fine pass price service boy.,Adults
5031,Instagram,Festival Discount,2023-08-06,2023-08-06,32759.81,127919,15191,8.23,,Tech Enthusiasts
5032,YouTube,New Launch,2023-08-13,2023-08-13,5131.03,930101,40120,5.59,Knowledge whatever ask attorney.,Youth
5033,LinkedIn,New Launch,20/08/2023,20/08/2023,5423.89,968101,34762,1.88,Stand successful class various account.,Adults
5034,Twitter,Product Spotlight,2023-08-27,2023-08-27,41395.68,706314,26095,4.73,,Tech Enthusiasts
5035,YouTube,Product Spotlight,03/09/2023,03/09/2023,16672.99,79519,33940,9.68,,Adults
5036,YouTube,Brand Awareness,"Sep 10, 2023","Sep 10, 2023",33626.02,721475,9130,7.55,,Adults
5037,Instagram,New Launch,2023-09-17,2023-09-17,25439.65,508204,31750,8.13,Radio return find speak place race between.,Youth
5038,Facebook,Brand Awareness,2023-09-24,2023-09-24,43854.35,970655,29298,0.42,,Tech Enthusiasts
5039,Instagram,Festival Discount,"Oct 01, 2023","Oct 01, 2023",46263.25,266587,43536,4.73,Ago red fine especially people.,Adults
5040,Facebook,Sale Promo,"Oct 08, 2023","Oct 08, 2023",49856.35,158112,33712,6.5,,General Public
5041,Facebook,New Launch,"Oct 15, 2023","Oct 15, 2023",11915.79,54772,42425,8.32,,Tech Enthusiasts
5042,YouTube,Festival Discount,2023-10-22,2023-10-22,43833.38,132431,12482,0.59,,General Public
5043,Facebook,New Launch,"Oct 29, 2023","Oct 29, 2023",16970.96,892522,9155,8.54,,Youth
5044,Twitter,Product Spotlight,"Nov 05, 2023","Nov 05, 2023",31586.71,204904,19082,5.53,Final prevent item.,General Public
5045,Twitter,Brand Awareness,2023-11-12,2023-11-12,27759.78,168988,35555,2.05,,Tech Enthusiasts
5046,Twitter,Product Spotlight,"Nov 19, 2023","Nov 19, 2023",5809.47,841303,45225,3.24,,Adults
5047,YouTube,Sale Promo,2023-11-26,2023-11-26,46974.71,524743,4508,2.89,,Adults
5048,Instagram,Product Spotlight,03/12/2023,03/12/2023,8524.72,822804,44964,5.36,,Tech Enthusiasts
5049,LinkedIn,New Launch,10/12/2023,10/12/2023,35969.85,989211,42372,0.61,Authority inside air whole father how place.,Adults
5050,Facebook,Product Spotlight,17/12/2023,17/12/2023,40325.31,49080,996,1.67,,General Public
5051,LinkedIn,New Launch,24/12/2023,24/12/2023,40787.95,116242,34731,8.15,Rise loss learn whole life.,Adults
5052,Instagram,Sale Promo,31/12/2023,31/12/2023,11097.25,839154,23712,1.41,,Adults
5053,Instagram,Product Spotlight,2024-01-07,2024-01-07,25140.65,524080,21137,2.41,,General Public
5054,YouTube,Brand Awareness,2024-01-14,2024-01-14,42324.3,39048,45727,4.59,,General Public
5055,Twitter,Brand Awareness,21/01/2024,21/01/2024,18620.56,619493,17377,5.22,,General Public
